RecordID,RowID,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,OfficialOOFPrediction_C,ReproducedPrediction_C,ReproducedAdditivityDifference_C,ConditionalVsOfficialDifference_C
TEMP_R000001,1,38.6848807263822,38.321312720517,38.31836257583106,38.321312720517,0.0,0.002950144685939904
TEMP_R000002,2,38.2857459781361,38.2571302645266,38.239046553636335,38.2571302645266,0.0,0.018083710890266502
TEMP_R000003,3,38.6828024744819,38.2467939016004,38.220371748559785,38.2467939016004,0.0,0.02642215304061324
TEMP_R000004,4,38.6824175419294,38.2493474297563,38.22350973321692,38.24934742975629,-7.105427357601002e-15,0.02583769653937651
TEMP_R000005,5,38.3017124399135,38.3362073538058,38.32399629916014,38.3362073538058,0.0,0.012211054645653974
TEMP_R000006,6,38.2886663659261,38.2744920665125,38.25845076640236,38.27449206651251,7.105427357601002e-15,0.016041300110138934
TEMP_R000007,7,38.303369148603,38.394230343705,38.39323599312763,38.394230343705,0.0,0.0009943505773648553
TEMP_R000008,8,38.6826352792508,38.3980894820123,38.38710429692514,38.3980894820123,0.0,0.01098518508716495
TEMP_R000009,9,38.2889890548965,38.396334942742,38.3890887191768,38.396334942742,0.0,0.007246223565203991
TEMP_R000015,15,38.6865711620344,38.9592625886192,38.95473981710774,38.95926258861919,-7.105427357601002e-15,0.004522771511453527
TEMP_R000016,16,38.2874159968763,38.9471658999811,38.92993450291876,38.947165899981094,-7.105427357601002e-15,0.017231397062339227
TEMP_R000017,17,38.6854097676478,38.7846827505995,38.78222102416623,38.78468275059951,7.105427357601002e-15,0.002461726433267586
TEMP_R000018,18,38.290421822212,38.7738640794102,38.76850171194542,38.77386407941021,7.105427357601002e-15,0.0053623674647838016
TEMP_R000019,19,38.2867209631881,38.6829754177152,38.6812178001867,38.68297541771519,-7.105427357601002e-15,0.001757617528497235
TEMP_R000020,20,38.2895821365267,38.6636499674354,38.6488919961134,38.6636499674354,0.0,0.014757971321998298
TEMP_R000021,21,38.2855024366761,38.5170737154249,38.509484393243504,38.5170737154249,0.0,0.00758932218139563
TEMP_R000022,22,38.2852084995937,38.5171922917077,38.50822558478585,38.5171922917077,0.0,0.008966706921853529
TEMP_R000023,23,38.3026234495007,38.4742352266472,38.47061350896372,38.4742352266472,0.0,0.0036217176834796305
TEMP_R000024,24,38.682569765729,38.477683718633,38.48687001972206,38.477683718633,0.0,-0.009186301089059157
TEMP_R000025,25,38.3022670261608,38.3790664158204,38.380270879474686,38.37906641582039,-7.105427357601002e-15,-0.0012044636542896114
TEMP_R000026,26,38.2887677924434,38.3792375510056,38.37529688957202,38.379237551005595,-7.105427357601002e-15,0.003940661433581738
TEMP_R000027,27,38.6824767831238,38.4270739301514,38.40743439177061,38.4270739301514,0.0,0.01963953838079391
TEMP_R000028,28,38.6820621518365,38.4272946573222,38.40760825079331,38.4272946573222,0.0,0.019686406528890643
TEMP_R000029,29,38.2846656481531,38.291386897621,38.24254197259352,38.29138689762101,7.105427357601002e-15,0.04884492502748117
TEMP_R000030,30,38.3012443168366,38.2860881229994,38.28565487779542,38.28608812299941,7.105427357601002e-15,0.0004332452039790269
TEMP_R000031,31,38.6822410097766,38.4817009739044,38.49413076274226,38.4817009739044,0.0,-0.012429788837856393
TEMP_R000032,32,38.3010527762341,38.4863022661092,38.489354126558105,38.4863022661092,0.0,-0.003051860448906041
TEMP_R000033,33,38.6849331105769,38.9690325321246,38.962160966703074,38.9690325321246,0.0,0.006871565421526782
TEMP_R000034,34,38.6832030585402,38.972834095992,38.96082170406776,38.97283409599199,-7.105427357601002e-15,0.01201239192423742
TEMP_R000035,35,38.6840187691921,38.5101666136349,38.50578860405646,38.5101666136349,0.0,0.00437800957843848
TEMP_R000036,36,38.681205625369,38.4915635117091,38.484832072230496,38.4915635117091,0.0,0.00673143947860666
TEMP_R000037,37,38.301493107608,38.0337497405622,38.035493782269306,38.0337497405622,0.0,-0.0017440417071057368
TEMP_R000038,38,38.2851142836563,38.0136104993445,38.02339733181096,38.01361049934451,7.105427357601002e-15,-0.009786832466460282
TEMP_R000039,39,38.6823694016983,38.2088008452951,38.21974518842628,38.2088008452951,0.0,-0.010944343131178869
TEMP_R000040,40,38.680450874998,38.2489544231654,38.2788023270613,38.2489544231654,0.0,-0.029847903895898753
TEMP_R000041,41,38.6848483792676,39.5089330686845,39.502422869043045,39.508933068684506,7.105427357601002e-15,0.006510199641454051
TEMP_R000042,42,38.3041996909664,39.4951217639449,39.49293148460538,39.4951217639449,0.0,0.0021902793395227604
TEMP_R000043,43,38.2873610899777,39.111286241453,39.11682032614151,39.111286241453,0.0,-0.005534084688505914
TEMP_R000044,44,38.6855195323359,39.1047251960838,39.10317362580324,39.10472519608379,-7.105427357601002e-15,0.0015515702805615206
TEMP_R000045,45,38.2902931177969,38.5376063864246,38.556526832904375,38.5376063864246,0.0,-0.01892044647977542
TEMP_R000046,46,38.6825232640727,38.5304701935695,38.5359615666764,38.5304701935695,0.0,-0.005491373106899289
TEMP_R000047,47,38.2853108908844,39.2811783160895,39.28526959426917,39.281178316089495,-7.105427357601002e-15,-0.004091278179664926
TEMP_R000048,48,38.6823124368505,39.2819835359263,39.28041075290801,39.281983535926294,-7.105427357601002e-15,0.0015727830182896696
TEMP_R000049,49,38.6830298303755,39.1983711991726,39.18927872552604,39.19837119917259,-7.105427357601002e-15,0.009092473646560961
TEMP_R000050,50,38.2848692274046,39.1973243696822,39.20402363377234,39.1973243696822,0.0,-0.006699264090137547
TEMP_R000051,51,38.2897017209764,38.8128452549059,38.82300680683687,38.8128452549059,0.0,-0.010161551930970347
TEMP_R000052,52,38.3033631791787,38.8070570639796,38.80807507989739,38.8070570639796,0.0,-0.001018015917793491
TEMP_R000053,53,38.3015478391024,39.0044473042166,39.006617971831126,39.0044473042166,0.0,-0.002170667614528554
TEMP_R000054,54,38.2847243609935,39.0013495036128,39.00756465346638,39.00134950361279,-7.105427357601002e-15,-0.006215149853581181
TEMP_R000055,55,38.3013562984999,38.9096616762515,38.916542595202735,38.90966167625151,7.105427357601002e-15,-0.006880918951232218
TEMP_R000056,56,38.6822720820286,38.9164508254814,38.917589654796096,38.9164508254814,0.0,-0.0011388293146978867
TEMP_R000057,57,38.2886811247959,40.0124053440288,40.016660814980106,40.0124053440288,0.0,-0.004255470951306961
TEMP_R000058,58,38.2918990526518,39.9909727248087,39.98042761226727,39.9909727248087,0.0,0.010545112541429091
TEMP_R000059,59,38.6845048617599,39.7122022915638,39.71456708360681,39.7122022915638,0.0,-0.002364792043010766
TEMP_R000060,60,38.6838310478694,39.6977285409864,39.69861951203878,39.6977285409864,0.0,-0.0008909710523852254
TEMP_R000061,61,38.3036408077619,39.6107262359031,39.61331994228588,39.61072623590311,7.105427357601002e-15,-0.0025937063827754514
TEMP_R000062,62,38.2902017708319,39.5995162780455,39.59623095912228,39.5995162780455,0.0,0.003285318923218483
TEMP_R000063,63,38.2857188479878,39.216914805871,39.22758079305443,39.216914805871006,7.105427357601002e-15,-0.010665987183429593
TEMP_R000064,64,38.289825948775,39.2142355730746,39.21962789437735,39.21423557307461,7.105427357601002e-15,-0.005392321302750247
TEMP_R000065,65,38.2854801266305,38.0749352581558,38.0745091124222,38.07493525815579,-7.105427357601002e-15,0.00042614573359855967
TEMP_R000066,66,38.6815852299449,38.0794623127983,38.10184724888259,38.0794623127983,0.0,-0.022384936084293372
TEMP_R000067,67,38.6852679276777,38.0879289857762,38.11808533211557,38.08792898577621,7.105427357601002e-15,-0.0301563463393677
TEMP_R000068,68,38.290593549942,38.0932222512933,38.10668573145132,38.093222251293305,7.105427357601002e-15,-0.013463480158023344
TEMP_R000069,69,38.2898881571497,37.9858331945856,37.99065262702565,37.9858331945856,0.0,-0.00481943244005123
TEMP_R000070,70,38.6824357820631,37.9860404609476,37.9853738807675,37.986040460947606,7.105427357601002e-15,0.0006665801801020166
TEMP_R000071,71,38.3032264174757,38.1502545391521,38.15254521374324,38.1502545391521,0.0,-0.0022906745911370763
TEMP_R000072,72,38.2897069524369,38.1722291943771,38.174190104868245,38.1722291943771,0.0,-0.0019609104911424424
TEMP_R000073,73,38.6824349883253,38.0686272368435,38.06909677535535,38.068627236843504,7.105427357601002e-15,-0.0004695385118509421
TEMP_R000074,74,38.3031704660843,38.092374901427,38.0850840110562,38.092374901427,0.0,0.0072908903707968875
TEMP_R000075,75,38.2843053973723,38.6327164864803,38.64570003900256,38.6327164864803,0.0,-0.012983552522264574
TEMP_R000076,76,38.2845840871389,38.6354942283068,38.649320174337234,38.6354942283068,0.0,-0.013825946030436853
TEMP_R000077,77,38.3021252964548,38.4600348826506,38.44615726963205,38.4600348826506,0.0,0.013877613018550505
TEMP_R000078,78,38.6819014362461,38.4604421406106,38.464288742140745,38.46044214061061,7.105427357601002e-15,-0.0038466015301423795
